id,Ecap,SoC_init,SoC_max,SoC_min,R_i,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
1,44.92,0.18,0.508,0.05,7.0,7.0,-7.0,7.56,26,57,0.0171
2,39.2,0.299,0.662,0.05,7.0,7.0,-7.0,2.14,66,75,0.0161
3,80.01,0.153,0.354,0.05,11.0,11.0,-11.0,4.69,28,47,0.0195
4,36.29,0.11,0.367,0.05,3.6,3.6,-3.6,2.72,75,86,0.0157
5,97.44,0.297,0.631,0.05,22.0,22.0,-22.0,5.99,21,45,0.0169
6,85.91,0.226,0.63,0.05,11.0,11.0,-11.0,8.2,27,60,0.0134
7,37.15,0.238,0.662,0.05,7.0,7.0,-7.0,5.38,51,73,0.0087
8,83.78,0.274,0.695,0.05,22.0,22.0,-22.0,9.43,82,120,0.0101
9,46.07,0.137,0.46,0.05,3.6,3.6,-3.6,4.36,79,97,0.0178
10,78.95,0.117,0.403,0.05,11.0,11.0,-11.0,4.95,75,95,0.0347
11,53.68,0.304,0.635,0.05,3.6,3.6,-3.6,6.22,62,87,0.0269
12,41.94,0.477,0.679,0.05,3.6,3.6,-3.6,4.76,68,88,0.0293
13,48.04,0.155,0.401,0.05,7.0,7.0,-7.0,4.42,77,95,0.0156
14,49.09,0.305,0.686,0.05,7.0,7.0,-7.0,4.47,40,58,0.0119
15,44.06,0.107,0.254,0.05,3.6,3.6,-3.6,1.89,41,49,0.0106
16,86.53,0.224,0.42,0.05,11.0,11.0,-11.0,1.62,69,76,0.0174
17,40.42,0.317,0.526,0.05,3.6,3.6,-3.6,5.14,24,45,0.0323
18,48.84,0.283,0.529,0.05,3.6,3.6,-3.6,6.68,29,56,0.0322
19,40.29,0.352,0.778,0.05,7.0,7.0,-7.0,3.99,42,58,0.025
20,48.36,0.078,0.52,0.05,3.6,3.6,-3.6,6.59,36,63,0.019
21,76.58,0.293,0.646,0.05,11.0,11.0,-11.0,7.7,35,66,0.0141
22,38.39,0.261,0.518,0.05,7.0,7.0,-7.0,3.48,57,71,0.0111
23,53.07,0.352,0.519,0.05,3.6,3.6,-3.6,2.59,79,90,0.0229
24,38.17,0.052,0.455,0.05,3.6,3.6,-3.6,4.61,43,62,0.025
25,48.42,0.387,0.693,0.05,3.6,3.6,-3.6,8.02,37,70,0.025
26,70.94,0.109,0.311,0.05,11.0,11.0,-11.0,6.01,40,65,0.0346
27,70.55,0.114,0.405,0.05,11.0,11.0,-11.0,8.3,69,103,0.0054
28,84.45,0.264,0.559,0.05,11.0,11.0,-11.0,7.41,67,97,0.0103
29,54.75,0.227,0.631,0.05,3.6,3.6,-3.6,6.47,36,62,0.0303
30,52.86,0.123,0.483,0.05,7.0,7.0,-7.0,9.5,78,117,0.0209
31,35.05,0.169,0.415,0.05,7.0,7.0,-7.0,6.54,80,107,0.02
32,43.23,0.484,0.834,0.05,7.0,7.0,-7.0,6.9,71,99,0.024
33,91.92,0.261,0.655,0.05,22.0,22.0,-22.0,3.23,55,68,0.0164
34,46.2,0.245,0.546,0.05,3.6,3.6,-3.6,4.06,63,80,0.0115
35,36.55,0.09,0.485,0.05,3.6,3.6,-3.6,9.22,18,55,0.0148
36,92.58,0.221,0.595,0.05,22.0,22.0,-22.0,8.35,67,101,0.0187
37,47.37,0.097,0.408,0.05,7.0,7.0,-7.0,7.04,38,67,0.0203
38,51.56,0.283,0.628,0.05,7.0,7.0,-7.0,5.89,67,91,0.0235
39,95.99,0.388,0.772,0.05,11.0,11.0,-11.0,3.53,25,40,0.041
40,100.0,0.183,0.459,0.05,11.0,11.0,-11.0,5.46,66,88,0.0184
41,50.18,0.183,0.534,0.05,7.0,7.0,-7.0,7.0,56,84,0.0274
42,73.14,0.382,0.776,0.05,11.0,11.0,-11.0,3.18,68,81,0.0116
43,88.23,0.287,0.694,0.05,11.0,11.0,-11.0,3.52,29,44,0.008
44,93.32,0.34,0.739,0.05,11.0,11.0,-11.0,7.52,80,111,0.0233
45,45.0,0.216,0.411,0.05,3.6,3.6,-3.6,2.57,27,38,0.0159
46,45.55,0.16,0.484,0.05,3.6,3.6,-3.6,10.65,69,112,0.0147
47,52.14,0.183,0.494,0.05,3.6,3.6,-3.6,4.73,44,63,0.0369
48,76.41,0.326,0.59,0.05,22.0,22.0,-22.0,3.73,72,87,0.0121
49,44.36,0.11,0.341,0.05,3.6,3.6,-3.6,11.72,34,81,0.0199
50,51.09,0.129,0.452,0.05,3.6,3.6,-3.6,4.82,29,49,0.0194
51,87.88,0.291,0.581,0.05,11.0,11.0,-11.0,4.61,77,96,0.02
52,54.61,0.482,0.691,0.05,7.0,7.0,-7.0,5.51,78,101,0.0439
53,51.89,0.372,0.463,0.05,3.6,3.6,-3.6,1.38,78,84,0.0303
54,51.41,0.178,0.485,0.05,3.6,3.6,-3.6,9.99,25,65,0.029
55,45.54,0.314,0.556,0.05,7.0,7.0,-7.0,4.4,64,82,0.0214
56,37.96,0.262,0.512,0.05,3.6,3.6,-3.6,7.5,62,93,0.0315
57,40.95,0.193,0.535,0.05,3.6,3.6,-3.6,4.09,73,90,0.0203
58,38.32,0.138,0.51,0.05,7.0,7.0,-7.0,2.36,24,34,0.0447
59,54.96,0.303,0.55,0.05,7.0,7.0,-7.0,3.73,74,89,0.0276
60,47.0,0.199,0.415,0.05,7.0,7.0,-7.0,10.34,37,79,0.0204
61,43.8,0.256,0.465,0.05,3.6,3.6,-3.6,3.69,73,88,0.0117
62,47.1,0.19,0.528,0.05,7.0,7.0,-7.0,8.95,54,90,0.0301
63,81.05,0.253,0.64,0.05,22.0,22.0,-22.0,6.58,58,85,0.0272
64,44.57,0.207,0.475,0.05,3.6,3.6,-3.6,3.5,31,45,0.0276
65,49.16,0.38,0.616,0.05,3.6,3.6,-3.6,3.4,29,43,0.0168
66,38.69,0.358,0.666,0.05,7.0,7.0,-7.0,2.32,27,37,0.0206
67,92.92,0.447,0.841,0.05,11.0,11.0,-11.0,7.55,39,70,0.0074
68,46.93,0.175,0.552,0.05,7.0,7.0,-7.0,5.19,38,59,0.0125
69,73.6,0.296,0.651,0.05,22.0,22.0,-22.0,4.78,44,64,0.0139
70,72.23,0.494,0.888,0.05,22.0,22.0,-22.0,9.28,31,69,0.0216
71,46.56,0.313,0.572,0.05,7.0,7.0,-7.0,7.91,38,70,0.0266
72,86.61,0.236,0.462,0.05,22.0,22.0,-22.0,8.4,65,99,0.0133
73,40.8,0.107,0.457,0.05,7.0,7.0,-7.0,6.32,42,68,0.027
74,74.57,0.122,0.479,0.05,11.0,11.0,-11.0,5.63,72,95,0.0293
75,41.31,0.292,0.681,0.05,7.0,7.0,-7.0,9.27,36,74,0.023
76,36.72,0.159,0.387,0.05,3.6,3.6,-3.6,11.4,32,78,0.0112
77,48.56,0.282,0.602,0.05,3.6,3.6,-3.6,7.94,67,99,0.0489
78,37.49,0.142,0.463,0.05,3.6,3.6,-3.6,4.07,26,43,0.0253
79,37.68,0.366,0.791,0.05,3.6,3.6,-3.6,10.09,64,105,0.009
80,47.89,0.222,0.527,0.05,3.6,3.6,-3.6,4.27,29,47,0.0116
81,45.13,0.166,0.503,0.05,3.6,3.6,-3.6,8.16,78,111,0.0356
82,92.25,0.087,0.294,0.05,11.0,11.0,-11.0,1.83,70,78,0.0141
83,92.47,0.116,0.478,0.05,22.0,22.0,-22.0,3.74,65,80,0.013
84,54.66,0.154,0.339,0.05,3.6,3.6,-3.6,2.96,32,44,0.0109
85,39.06,0.328,0.738,0.05,7.0,7.0,-7.0,3.84,36,52,0.0113
86,75.4,0.328,0.601,0.05,11.0,11.0,-11.0,7.58,22,53,0.0211
87,90.52,0.198,0.487,0.05,22.0,22.0,-22.0,2.26,23,33,0.0372
88,52.12,0.208,0.579,0.05,3.6,3.6,-3.6,6.52,80,107,0.0108
89,45.87,0.327,0.65,0.05,3.6,3.6,-3.6,10.05,29,70,0.0261
90,46.64,0.458,0.732,0.05,7.0,7.0,-7.0,4.46,73,91,0.0301
91,70.95,0.179,0.415,0.05,22.0,22.0,-22.0,3.94,42,58,0.0145
92,54.16,0.436,0.703,0.05,7.0,7.0,-7.0,7.99,63,95,0.0184
93,35.82,0.288,0.696,0.05,7.0,7.0,-7.0,5.27,45,67,0.0192
94,44.08,0.101,0.497,0.05,7.0,7.0,-7.0,5.68,26,49,0.0236
95,42.7,0.099,0.287,0.05,3.6,3.6,-3.6,2.34,68,78,0.0366
96,44.51,0.348,0.638,0.05,3.6,3.6,-3.6,8.9,66,102,0.014
97,43.38,0.148,0.515,0.05,7.0,7.0,-7.0,4.3,63,81,0.0162
98,37.89,0.233,0.485,0.05,3.6,3.6,-3.6,2.79,63,75,0.0105
99,46.97,0.332,0.54,0.05,3.6,3.6,-3.6,6.65,21,48,0.0228
100,42.81,0.181,0.467,0.05,3.6,3.6,-3.6,3.57,66,81,0.0111
101,97.87,0.128,0.352,0.05,22.0,22.0,-22.0,2.55,33,44,0.0264
102,36.72,0.142,0.437,0.05,3.6,3.6,-3.6,4.1,35,52,0.0288
103,77.05,0.207,0.508,0.05,11.0,11.0,-11.0,4.67,38,57,0.02
104,48.52,0.078,0.288,0.05,7.0,7.0,-7.0,3.51,40,55,0.0274
105,43.02,0.339,0.574,0.05,7.0,7.0,-7.0,4.57,38,57,0.0142
106,38.13,0.25,0.566,0.05,3.6,3.6,-3.6,3.83,34,50,0.0057
107,84.3,0.28,0.685,0.05,11.0,11.0,-11.0,4.12,59,76,0.0136
108,53.22,0.21,0.379,0.05,3.6,3.6,-3.6,2.63,70,81,0.0156
109,83.02,0.105,0.427,0.05,22.0,22.0,-22.0,6.7,31,58,0.0162
110,46.23,0.19,0.585,0.05,3.6,3.6,-3.6,8.27,39,73,0.0175
111,41.59,0.496,0.811,0.05,7.0,7.0,-7.0,1.97,68,76,0.0138
112,48.83,0.317,0.675,0.05,7.0,7.0,-7.0,9.19,66,103,0.018
113,49.14,0.2,0.351,0.05,3.6,3.6,-3.6,2.18,85,94,0.0417
114,44.31,0.207,0.645,0.05,7.0,7.0,-7.0,8.72,74,109,0.0115
115,43.32,0.108,0.331,0.05,3.6,3.6,-3.6,2.82,67,79,0.0149
116,35.63,0.461,0.817,0.05,3.6,3.6,-3.6,9.68,30,69,0.0224
117,54.94,0.17,0.607,0.05,7.0,7.0,-7.0,6.08,83,108,0.0225
118,53.97,0.3,0.507,0.05,3.6,3.6,-3.6,3.26,36,50,0.0164
119,36.21,0.255,0.506,0.05,7.0,7.0,-7.0,8.77,39,75,0.0276
120,35.0,0.286,0.514,0.05,3.6,3.6,-3.6,7.55,23,54,0.0131
121,94.13,0.148,0.515,0.05,22.0,22.0,-22.0,6.52,33,60,0.0108
122,45.19,0.178,0.456,0.05,7.0,7.0,-7.0,3.98,38,54,0.0578
123,72.88,0.209,0.502,0.05,11.0,11.0,-11.0,4.37,73,91,0.0141
124,46.06,0.314,0.762,0.05,7.0,7.0,-7.0,8.32,72,106,0.0324
125,93.38,0.112,0.546,0.05,11.0,11.0,-11.0,7.91,38,70,0.0192
126,52.98,0.099,0.32,0.05,7.0,7.0,-7.0,2.93,28,40,0.0295
127,43.21,0.255,0.565,0.05,7.0,7.0,-7.0,8.16,79,112,0.0402
128,37.79,0.067,0.416,0.05,7.0,7.0,-7.0,4.66,32,51,0.0253
129,47.49,0.243,0.452,0.05,7.0,7.0,-7.0,4.06,60,77,0.0122
130,53.92,0.451,0.898,0.05,7.0,7.0,-7.0,7.44,72,102,0.0107
131,70.48,0.181,0.594,0.05,11.0,11.0,-11.0,9.23,32,69,0.0153
132,39.67,0.18,0.555,0.05,3.6,3.6,-3.6,4.35,34,52,0.0424
133,38.68,0.185,0.412,0.05,3.6,3.6,-3.6,3.46,73,87,0.0258
134,53.33,0.303,0.54,0.05,3.6,3.6,-3.6,6.23,70,95,0.0118
135,52.05,0.422,0.835,0.05,7.0,7.0,-7.0,5.59,38,61,0.0169
136,93.35,0.25,0.667,0.05,11.0,11.0,-11.0,6.17,76,101,0.0215
