gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
0,0.02401543877899695,3.083261066713975,8.795286216722912,0.0,0.0,0.0,0.0
1,0.023836632534362502,0.08745355397006264,0.09462051547831013,0.0,0.0,0.0,189.6314083567287
2,0.022091914377970437,0.056725075157315175,0.058728296947749975,0.0,0.0,0.0,182.97899250558618
3,0.022091914377970437,0.0602702952692751,0.05422441609811824,0.0,0.0,0.0,178.30676102244217
4,0.020943521430522166,0.046256963828016626,0.04029113471945005,0.0,0.0,0.0,180.58428617997825
5,0.01839398066923177,0.03597150185506818,0.02968834028064079,0.0,0.0,0.0,174.50944859852922
6,0.018339427715080403,0.028300725876589262,0.011747745584871168,0.0,0.0,0.0,166.7951635802726
7,0.017062265888778926,0.02802450943368977,0.015844239760159463,0.0,0.0,0.0,161.1998078018397
8,0.017062265888778926,0.02423886177238883,0.009571129172741472,0.0,0.0,0.0,146.17857390211313
9,0.017062265888778926,0.023647909960054746,0.008677635088212994,0.0,0.0,0.0,126.24725687530383
10,0.016578946430299765,0.021096338624162943,0.005536665866664195,0.0,0.0,0.0,116.36646961193907
11,0.01567322043036567,0.01921879236103271,0.003650944458550075,0.0,0.0,0.0,115.41692068021892
12,0.014902889020338463,0.01810686473353784,0.0029237493306675214,0.0,0.0,0.0,107.00002269117569
13,0.013469317739396323,0.017783735153480508,0.0027461562184036936,0.0,0.0,0.0,99.87191284527427
14,0.013469317739396323,0.017221563137957377,0.0038572583177753817,0.0,0.0,0.0,97.82865388996626
15,0.012764219876241746,0.01710280030653843,0.004384101163238396,0.0,0.0,0.0,98.97967105146394
16,0.012764219876241746,0.015530659998518725,0.0023594817675919116,0.0,0.0,0.0,92.59399524896025
17,0.011279967236558622,0.014562683203924055,0.0013490819681687232,0.0,0.0,0.0,93.41955643510677
18,0.011210400619029573,0.014688131891098518,0.004003457561361061,0.0,0.0,0.0,91.42136753418396
19,0.010754122566117859,0.013587875407367897,0.0015696560881567946,0.0,0.0,0.0,89.29507448428883
20,0.010754122566117859,0.0137233474221013,0.004768663764132701,0.0,0.0,0.0,89.00710936101659
21,0.009426101513858906,0.01289728274826891,0.003953941535196951,0.0,0.0,0.0,86.65081448300094
22,0.009103421258427863,0.011983105492791931,0.0021522401711877135,0.0,0.0,0.0,85.39008066399734
23,0.008355492812285467,0.01108526256942913,0.002259440565084488,0.0,0.0,0.0,79.76680948350005
24,0.007587056961443177,0.010322087580039777,0.0018822326079649004,0.0,0.0,0.0,78.6944894660505
25,0.007041480919784647,0.009230587421457274,0.0011016298559408417,0.0,0.0,0.0,77.67517753429107
26,0.006340980159078788,0.008555029992964262,0.00127545220887107,0.0,0.0,0.0,75.09630254944095
27,0.005574452983026029,0.007987080692920307,0.0017699618879868702,0.0,0.0,0.0,66.1674688423577
28,0.005483753894495895,0.00713477754253399,0.0008652674821010481,0.0,0.0,0.0,60.968741695952886
29,0.005147089860287897,0.0069075387782655305,0.0012761396384157857,0.0,0.0,0.0,62.410599392133896
30,0.004698680694711736,0.0061938764861306506,0.0008742912343687747,0.0,0.0,0.0,60.254824776041744
31,0.004004784111182207,0.0063358453273204465,0.002307950140392891,0.0,0.0,0.0,61.77189782448262
32,0.0031914801683679897,0.005670141051580758,0.0013867470029058162,0.0,0.0,0.0,58.70893039637356
33,0.003179482289647574,0.005749017669002243,0.0019416920749193226,0.0,0.0,0.0,58.3836978741818
34,0.0029011668335693144,0.004886882020450402,0.0016709310064277473,0.0,0.0,0.0,58.26727880461041
35,0.0020442945254359815,0.004428775746771698,0.0016511546535143157,0.0,0.0,0.0,53.06304756904143
36,0.0015557175291820644,0.0038454440336865695,0.0013938933676922284,0.0,0.0,0.0,54.09078534622526
37,0.0015557175291820644,0.0033828930084688915,0.0013019913430253527,0.0,0.0,0.0,51.15892604016164
38,0.0014066431333685098,0.0035450938728929958,0.0019201545386204734,0.0,0.0,0.0,48.38354890882608
39,0.0012070437312540552,0.0028621583103312807,0.0013987634990994286,0.0,0.0,0.0,49.14098896050357
40,0.0006283580272355982,0.0023119233397134974,0.000993960871510054,0.0,0.0,0.0,49.06305030227577
41,0.00026850483907910755,0.002243308094169745,0.0019906226233728707,0.0,0.0,0.0,46.744572751906496
42,0.00018015050981898262,0.0017935833766152282,0.0011429074906784947,0.0,0.0,0.0,44.10899820776927
43,-0.0007762258702745731,0.0016760279923327484,0.0016587235950592557,0.0,0.0,0.0,45.38828198807962
44,-0.0007762258702745731,0.0012575687770667854,0.0014453259173009254,0.0,0.0,0.0,42.27035877044888
45,-0.0008917318814188821,0.0008145412622570803,0.0013076582603278849,0.0,0.0,0.0,42.66863236696949
46,-0.0009134137550572269,0.0006198452301078707,0.0016592761890205665,0.0,0.0,0.0,43.379599866679534
47,-0.0017214940661247694,-0.0001293699780423789,0.00091836313969835,0.0,0.0,0.0,41.613262738492324
48,-0.0017214940661247694,-0.0002985277606756026,0.0012998418885153162,0.0,0.0,0.0,38.37681272681061
49,-0.002017520729940464,-0.0004927949344340132,0.0014544946976043774,0.0,0.0,0.0,38.667057731973
50,-0.002037146984501796,-0.0007358806899620948,0.001542833503609137,0.0,0.0,0.0,37.547020271272324
51,-0.0023483015881551536,-0.0012348283805723634,0.0011414561403288916,0.0,0.0,0.0,34.79168705843692
52,-0.002466941461711704,-0.0015191773173375883,0.0011657584078156175,0.0,0.0,0.0,32.85985877157984
53,-0.0028923959188536935,-0.002057101306451253,0.0004282381967481852,0.0,0.0,0.0,32.08076924371614
54,-0.0031655675943699085,-0.002153575849265823,0.0008248927933852298,0.0,0.0,0.0,31.45795513895313
55,-0.003381562588819491,-0.0024337081401813883,0.0006410967488337876,0.0,0.0,0.0,28.294272925794633
56,-0.003577660270803147,-0.0023590925906023497,0.0013598525754650558,0.0,0.0,0.0,29.057268571384654
57,-0.003748857709861504,-0.00305566626195995,0.0005283345222287228,0.0,0.0,0.0,29.440536002874236
58,-0.004311326874488357,-0.0032824013203218497,0.0004902879459695588,0.05671693076032148,0.0,0.0,26.712606584334264
59,-0.004311326874488357,-0.0035565169280862897,0.00028829747535019955,0.05671693076032148,0.0,0.0,27.51575101330597
60,-0.004379651971343504,-0.003629850193652251,0.0007651139995465774,0.0,0.0,0.0,25.984833144021554
61,-0.004827230880192615,-0.003968082670759959,0.0003718700381700649,0.0,0.0,0.0,25.76976614527895
62,-0.0048368985209410464,-0.004034950712041793,0.0008725126217453984,0.0,0.0,0.0,24.390801501684383
63,-0.004917880213519496,-0.004047950383114288,0.0010370671849130814,0.004067871065650453,0.0,0.0,24.297375536559493
64,-0.005023998473916838,-0.004398912001993961,0.0005168104043107682,0.0,0.0,0.0,21.35065025390104
65,-0.00524815405179075,-0.004496272857953774,0.0006016726695250262,0.0,0.0,0.0,22.433516521538156
66,-0.005500640190114897,-0.0045707567534647355,0.0008918138545270519,0.0,0.0,0.0,21.842871303439534
67,-0.005500640190114897,-0.004879214482011266,0.0005622686996934142,0.0,0.0,0.0,20.181247871066258
68,-0.0056032922439310726,-0.004970034597747341,0.0007203931190917081,0.0,0.0,0.0,19.234677124047284
69,-0.005765266967656953,-0.005222748221187635,0.00040263986280744294,0.0,0.0,0.0,19.175993643385176
70,-0.005932178145969379,-0.005361512963102983,0.000565742157694838,0.0,0.0,0.0,18.317520283643738
71,-0.006199028881199713,-0.005322504581904437,0.0011858010301309047,0.0,0.0,0.0,17.133697574313594
