gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
0,0.04680930736071792,2.3391427650363816,4.746673947755211,14.949599916932755,0.0,0.0,0.0
1,-0.0035304329645635332,0.3455966686887383,0.3029045811206315,0.0,0.0,0.0,249.68107855523252
2,-0.003994882200763106,0.16240939739635848,0.15581443795636252,0.0,0.0,0.0,249.4650793445648
3,-0.004013409744589053,0.07966874558771328,0.08078418542831654,0.0,0.0,0.0,237.37931062304435
4,-0.004013409744589053,0.05406610309473488,0.07675983038619583,0.0,0.0,0.0,213.7708244440946
5,-0.004013409744589053,0.02527703369939839,0.02993181422985955,0.0,0.0,0.0,199.41318880952056
6,-0.004013409744589053,0.02539736053387479,0.04029716170369369,0.0,0.0,0.0,196.53724259851626
7,-0.004013409744589053,0.011839509407232364,0.021672048256776814,0.0,0.0,0.0,172.77575241112956
8,-0.004013409744589053,0.00493821506203192,0.01163378789473637,0.0,0.0,0.0,161.5156037814579
9,-0.004015574748173045,0.001739879307315964,0.00847211679942648,0.0,0.0,0.0,158.38438293466928
10,-0.004645806976657306,0.002242218351188551,0.009178719437168725,0.0,0.0,0.0,147.19046089233504
11,-0.004770830008974065,-0.001082366461610991,0.0041068372641823725,0.0,0.0,0.0,136.08930726264927
12,-0.004810443769644304,-0.0004318574668119124,0.007059593542041416,0.0,0.0,0.0,120.87922567445031
13,-0.005532005892663366,-0.003100461486126789,0.002828770676767036,0.0,0.0,0.0,113.43022838206596
14,-0.005711088478670717,-0.0038841566156660582,0.0018397358570501174,0.0,0.0,0.0,104.26772451420207
15,-0.005995864510494601,-0.003721950164462906,0.0028576480814659615,0.0,0.0,0.013357161690557007,101.65777983709997
16,-0.006247101958555389,-0.004491089851848439,0.001688512614092807,0.0,0.0,0.0,100.98095667865358
17,-0.006515782235507615,-0.004044894383438372,0.00293034290622295,0.0,0.0,0.0,100.4856290318562
18,-0.006515782235507615,-0.004516165508775169,0.0021074716468149975,0.0,0.0,0.0,100.77896783405501
19,-0.006746189624803743,-0.004804030354465312,0.0022072682759077373,0.0,0.0,0.0,93.92451576725156
20,-0.006746189624803743,-0.004922644136979637,0.0025258616908117788,0.0,0.0,0.0,92.12326568519076
21,-0.007070438701533455,-0.005639778782161271,0.0013554760701928975,0.0,0.0,0.0,84.25007420655064
22,-0.007451402343082902,-0.005868288634779678,0.0015016648191818137,0.0,0.0,0.0,81.88815504165107
23,-0.007503841461052735,-0.005699629346332603,0.00232397805674269,0.0,0.0,0.0,86.42205394420303
24,-0.007641807239561805,-0.006121004819246831,0.0020277859026193003,0.0,0.0,0.0,79.35236751884113
25,-0.007776967220616115,-0.006421835401592996,0.001752447997457143,0.0,0.0,0.0,78.54098959607855
26,-0.007925957028652349,-0.0066097509269669496,0.002960455268809461,0.0,0.0,0.0,74.91877195056831
27,-0.008077594948748143,-0.006738584933492605,0.001964649128379401,0.0,0.0,0.005108944229075263,72.30592247888475
28,-0.008525529709010254,-0.007390255011638155,0.0017341146137091902,0.0,0.0,0.0,72.73996053057805
29,-0.008752917289793011,-0.006984060828555819,0.0028785309388440574,0.0,0.0,0.0,67.57791006372132
30,-0.008752917289793011,-0.007672243331708025,0.0015299578334332215,0.0,0.0,0.0,59.10260517590193
31,-0.00893923045724819,-0.007589162281980334,0.00226386919712175,0.0,0.0,0.0,62.877716292973034
32,-0.00893923045724819,-0.0077484964561063165,0.002373612315134895,0.0,0.0,0.0,53.71059556819227
33,-0.009050059540298912,-0.00837687256797146,0.001071396347256689,0.0,0.0,0.0,51.925466351072664
34,-0.009174368671922811,-0.008613917836742617,0.000529622862106754,0.0,0.0,0.0,49.373342180415264
35,-0.009331518105684933,-0.008572278420818213,0.0008674848907684068,0.0,0.0,0.0,52.50337226152544
36,-0.009355187620057367,-0.008677068967983191,0.000951838134317694,0.0,0.0,0.0,52.66479184166576
37,-0.009420773742021923,-0.008587074096878753,0.00117363697144276,0.0,0.0,0.0,51.49834871376386
38,-0.009533658564139898,-0.008767340170849028,0.0013415431732744778,0.0,0.0,0.0,49.88388823008093
39,-0.009796531643653066,-0.00896403797273811,0.0008561129354166418,0.0,0.0,0.0,48.22549354720485
40,-0.009880057881518137,-0.009097357389279208,0.0008680613752527379,0.0,0.0,0.0,44.4163769685191
41,-0.009880057881518137,-0.00898421228428664,0.0015217703659806134,0.0,0.0,0.0,44.78356991559196
42,-0.009881418367756672,-0.008648875871329531,0.002317027019822564,0.0,0.0,0.0,44.826702534983646
43,-0.00996908397964711,-0.009204446878454283,0.0013389375914023387,0.0,0.0,0.0,42.255949571155746
44,-0.00996908397964711,-0.009252202733816517,0.00142482767932188,0.0,0.0,0.0,41.420126594561985
45,-0.01006835142470023,-0.00944454603517898,0.0008521593584347613,0.0,0.0,0.0,41.75745193317094
46,-0.01006835142470023,-0.009465146171297664,0.0009606668834211405,0.0,0.0,0.0,38.05319320172916
47,-0.010201801437538884,-0.009757992488157749,0.00038107888010772566,0.0,0.0,0.0,33.992606878149225
48,-0.010201801437538884,-0.009887572430844316,0.00029487816711638924,0.0,0.0,0.0,31.55654339764103
49,-0.01034804976282691,-0.009992388658075804,0.00025844202699761443,0.0,0.0,0.0,30.8592093788887
50,-0.010369290153049826,-0.010047417775937826,0.00031525235055080043,0.0,0.0,0.0,28.853681612788886
51,-0.010384385969133866,-0.01012537410315885,0.0002343054069247664,0.0,0.0,0.0,24.519153785060496
52,-0.010486457456701407,-0.010082705659835744,0.000481954493299816,0.0,0.0,0.0,23.799574140126897
53,-0.01053716528741384,-0.010223074627868266,0.0003769858952545671,0.0,0.0,0.0,24.1579652739118
54,-0.010563436996265094,-0.010324484713473851,0.00022745185117677713,0.0,0.0,0.0,22.099130979544526
55,-0.010730646936541976,-0.010337809893666245,0.0002969002776843143,0.0,0.0,0.0,22.032250564340686
56,-0.010741432297798639,-0.010433344491783894,0.00017820598349686185,0.0,0.0,0.0,21.971341221059735
57,-0.01080605155282855,-0.01048794238469512,0.00025017098015371896,0.0,0.0,0.0,23.201912514107267
58,-0.010932954586477278,-0.010457268989703242,0.0005592694802102211,0.0,0.0,0.0,22.344212406917382
59,-0.010941096648713684,-0.010543603408451984,0.0005528773929907123,0.0,0.0,0.0,21.430072083425223
60,-0.01097939656302225,-0.010636738241407229,0.0003746495824624986,0.0,0.0,0.0,20.603832720319694
61,-0.011243721403918251,-0.010583776005854452,0.0006435196227265172,0.0,0.0,0.0,20.968393672180486
62,-0.011243721403918251,-0.010568184303264505,0.0009145037029363062,0.0,0.0,0.0,19.5037259994954
63,-0.011243721403918251,-0.010764721405362231,0.0004999400044656303,0.0,0.0,0.0,19.84874357123617
64,-0.011243721403918251,-0.010923689044201601,0.0002607571922400998,0.0,0.0,0.0,19.543989022956506
65,-0.01124879581443649,-0.010900481235734939,0.0006364937282353938,0.0,0.0,0.0,15.658134582979025
66,-0.011349452718576854,-0.011000241985383765,0.00037038401340445487,0.0,0.0,0.0,15.833504644836708
67,-0.011349452718576854,-0.010988668127208357,0.0005938259082133127,0.0,0.0,0.0,14.533924523939966
68,-0.011484636132385623,-0.01116334649008188,0.00023904345783535438,0.0,0.0,0.0,13.641136755521638
69,-0.011484636132385623,-0.011184660355363156,0.00028657078050942536,0.0,0.0,0.0,14.101227594401491
70,-0.011485282622262241,-0.011167443864813227,0.0004266305539182983,0.0,0.0,0.0,14.655305935126329
71,-0.011554875221340279,-0.011284487804439278,0.00021227962309528533,0.0,0.0,0.0,14.48837885961411
72,-0.011554875221340279,-0.01131198107808788,0.0002869447964918571,0.0,0.0,0.0,14.603180165488972
73,-0.011593080984796927,-0.011343781745058299,0.00042521371776522353,0.0,0.0,0.0,14.539812427239134
74,-0.011623042183956465,-0.011355372622775606,0.0005438600711809349,0.0,0.0,0.0,14.80395727408947
75,-0.011698219700959848,-0.011471109962463939,0.0002582670414057802,0.0,0.0,0.0,15.2820294584455
76,-0.011725881253178146,-0.011345969391327825,0.0008242621171750837,0.0,0.0,0.0,15.586866596611014
77,-0.011830875145860894,-0.011513826950953593,0.0002945583535863948,0.0,0.0,0.0,15.03575675444672
78,-0.01183123566977112,-0.011500800855889443,0.00045123677809825373,0.0,0.0,0.0,15.745228754655043
79,-0.011900080598878447,-0.011576632649490527,0.00035743272016958545,0.0,0.0,0.0,15.01240437168093
