gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
0,-0.04453778929299684,-0.0033055228410829333,0.05351007872932651,0.0,0.0,0.0,0.0
1,-0.04453778929299684,-0.02247764597670231,0.009376174197457546,0.0,0.0,0.0,86.89204028745114
2,-0.04453778929299684,-0.03107756451794768,0.007104624083247397,0.0,0.0,0.0,69.0676233256051
3,-0.04453778929299684,-0.03670250878801236,0.0035924245249418967,0.0,0.0,0.0,54.45708553566689
4,-0.04453778929299684,-0.039462520680280236,0.0017302761692675574,0.0,0.0,0.0,37.491281817231666
5,-0.04453778929299684,-0.04077313031691784,0.0011733939641822475,0.0,0.0,0.0,30.809163648375957
6,-0.04453778929299684,-0.04170434494533353,0.0010005159239382159,0.0,0.0,0.0,25.950570884498603
7,-0.04453778929299684,-0.04252387074304666,0.000928644153074748,0.0,0.0,0.0,21.71784412514915
8,-0.04453778929299684,-0.04334159446077072,0.0006726156846357226,0.0,0.0,0.0,16.0665544533183
9,-0.04453966642288711,-0.043848376289104166,0.0003982201013428486,0.0,0.0,0.0,13.284744804441344
10,-0.04453966642288711,-0.04414668366246609,0.00020249260572458564,0.0,0.0,0.0,11.056015699738722
11,-0.044662434322261864,-0.04425978411119237,0.0001751905734828566,0.0,0.0,0.0,7.677549997252027
12,-0.044708221003052724,-0.044355846479429216,0.00013798197277874278,0.0,0.0,0.0,7.603040868440658
13,-0.044751294323050805,-0.04443452827964204,0.00017129438252003984,0.0,0.0,0.0,6.189955075086459
14,-0.044751294323050805,-0.04453522111979882,0.00013028958391796984,0.0,0.0,0.0,5.941165087361007
15,-0.04476619230237596,-0.04460564916112539,0.0001189143353699068,0.0,0.0,0.0,3.8271422638129833
16,-0.044789711073139886,-0.044646819085497724,8.863168777210922e-05,0.0,0.0,0.0,3.3436260147179895
17,-0.044865261261575,-0.04464786400710467,0.00011658553901885968,0.0,0.0,0.0,3.3238815593550814
18,-0.044865261261575,-0.044708572559930514,9.020815987990698e-05,0.0,0.0,0.0,3.0510469432026452
19,-0.044974750026795025,-0.044736411602192015,0.00011317783681544499,0.0,0.0,0.0,3.187126566447981
20,-0.044974750026795025,-0.04475303833607029,9.885685591933656e-05,0.0,0.0,0.0,3.2985074171126083
21,-0.044974750026795025,-0.04477833401344809,9.631125698021899e-05,0.0,0.0,0.0,3.269178045663683
22,-0.044977855082598495,-0.044811966443891696,9.629033744993646e-05,0.0,0.0,0.0,3.2462976658247595
23,-0.04499404567891172,-0.04481874558690117,0.00011547940566415969,0.0,0.0,0.0,3.6569258004256193
