id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
75,37.54,0.224,0.551,0.0,13.15,-13.15,4.79,27,,0.02
13,43.73,0.234,0.662,0.0,14.94,-14.94,7.16,13,,0.02
65,38.6,0.58,1.0,0.0,12.0,-12.0,3.81,25,,0.02
18,92.52,0.407,0.811,0.0,10.68,-10.68,2.53,19,,0.02
60,35.91,0.225,0.58,0.0,10.04,-10.04,4.49,24,,0.02
14,90.86,0.449,0.84,0.0,14.58,-14.58,5.31,13,,0.02
77,75.1,0.542,0.859,0.0,14.82,-14.82,5.13,27,,0.02
87,52.62,0.222,0.711,0.0,13.41,-13.41,4.18,21,,0.02
25,38.49,0.26,0.65,0.0,12.55,-12.55,3.05,25,,0.02
66,46.15,0.595,1.0,0.0,10.15,-10.15,4.17,19,,0.02
95,48.94,0.55,0.954,0.0,11.98,-11.98,2.14,20,,0.02
54,48.08,0.576,1.0,0.0,12.14,-12.14,2.89,17,,0.02
79,41.55,0.557,0.975,0.0,12.48,-12.48,7.48,4,,0.02
67,86.19,0.508,0.94,0.0,10.32,-10.32,2.32,8,,0.02
28,47.75,0.494,0.863,0.0,10.27,-10.27,3.59,20,,0.02
40,90.03,0.303,0.759,0.0,13.62,-13.62,6.66,8,,0.02
51,47.66,0.256,0.595,0.0,13.41,-13.41,7.98,23,,0.02
83,44.6,0.481,0.953,0.0,10.83,-10.83,5.5,23,,0.02
80,82.53,0.597,1.0,0.0,9.27,-9.27,2.2,16,,0.02
38,48.13,0.426,0.92,0.0,14.4,-14.4,2.67,28,,0.02
44,93.32,0.399,0.83,0.0,9.11,-9.11,7.6,0,,0.02
84,83.91,0.481,0.818,0.0,9.83,-9.83,4.22,27,,0.02
56,77.28,0.206,0.632,0.0,12.89,-12.89,3.84,28,,0.02
7,53.87,0.593,0.962,0.0,11.61,-11.61,5.5,2,,0.02
59,79.73,0.43,0.758,0.0,14.86,-14.86,7.79,26,,0.02
55,97.74,0.257,0.687,0.0,9.22,-9.22,7.44,15,,0.02
82,90.79,0.287,0.659,0.0,11.44,-11.44,5.89,7,,0.02
11,84.25,0.354,0.839,0.0,10.13,-10.13,4.5,26,,0.02
68,37.98,0.565,0.964,0.0,14.06,-14.06,6.02,5,,0.02
12,52.45,0.205,0.634,0.0,9.75,-9.75,6.33,4,,0.02
32,89.12,0.373,0.856,0.0,14.74,-14.74,3.64,27,,0.02
88,42.66,0.216,0.59,0.0,11.79,-11.79,5.35,20,,0.02
26,77.09,0.411,0.718,0.0,10.08,-10.08,7.8,2,,0.02
2,91.36,0.246,0.665,0.0,14.02,-14.02,5.33,10,,0.02
94,72.62,0.272,0.763,0.0,11.34,-11.34,2.66,2,,0.02
76,50.21,0.318,0.649,0.0,10.32,-10.32,5.83,25,,0.02
36,40.67,0.209,0.528,0.0,10.16,-10.16,5.56,30,,0.02
9,49.07,0.344,0.816,0.0,13.92,-13.92,2.19,27,,0.02
3,75.29,0.228,0.55,0.0,14.74,-14.74,5.58,26,,0.02
49,72.41,0.507,0.936,0.0,11.76,-11.76,5.33,5,,0.02
8,85.31,0.541,0.853,0.0,14.09,-14.09,5.29,28,,0.02
53,54.92,0.222,0.68,0.0,9.22,-9.22,4.43,1,,0.02
29,71.58,0.39,0.786,0.0,11.78,-11.78,6.51,30,,0.02
47,54.08,0.393,0.806,0.0,13.91,-13.91,7.95,29,,0.02
78,76.49,0.385,0.688,0.0,11.84,-11.84,6.42,13,,0.02
43,47.87,0.486,0.807,0.0,14.48,-14.48,2.42,2,,0.02
97,36.26,0.293,0.782,0.0,14.23,-14.23,4.02,20,,0.02
63,48.04,0.366,0.828,0.0,14.32,-14.32,4.86,24,,0.02
93,94.0,0.524,1.0,0.0,14.67,-14.67,3.13,2,,0.02
85,47.67,0.228,0.707,0.0,14.16,-14.16,5.19,10,,0.02
46,84.34,0.491,0.954,0.0,11.42,-11.42,5.24,2,,0.02
42,76.02,0.458,0.78,0.0,11.36,-11.36,6.61,17,,0.02
22,79.12,0.304,0.73,0.0,13.71,-13.71,3.01,18,,0.02
33,51.05,0.434,0.826,0.0,10.53,-10.53,6.49,21,,0.02
35,35.17,0.364,0.77,0.0,9.41,-9.41,4.68,21,,0.02
73,39.41,0.394,0.872,0.0,11.83,-11.83,3.3,4,,0.02
1,83.06,0.418,0.765,0.0,13.72,-13.72,6.02,21,,0.02
62,81.28,0.552,0.868,0.0,9.95,-9.95,3.08,0,,0.02
71,52.9,0.437,0.802,0.0,13.33,-13.33,6.48,6,,0.02
30,81.39,0.39,0.719,0.0,13.23,-13.23,4.61,27,,0.02
61,86.6,0.57,0.878,0.0,11.63,-11.63,6.75,3,,0.02
10,46.8,0.485,0.866,0.0,12.75,-12.75,5.27,13,,0.02
50,89.82,0.356,0.677,0.0,10.79,-10.79,4.16,22,,0.02
64,37.86,0.38,0.728,0.0,10.63,-10.63,5.66,5,,0.02
52,42.78,0.457,0.857,0.0,13.76,-13.76,7.01,30,,0.02
4,79.82,0.225,0.568,0.0,12.87,-12.87,7.32,4,,0.02
16,78.08,0.431,0.737,0.0,14.56,-14.56,5.41,1,,0.02
39,40.89,0.23,0.621,0.0,12.96,-12.96,6.62,8,,0.02
98,89.67,0.394,0.828,0.0,13.72,-13.72,7.05,16,,0.02
90,92.57,0.481,0.932,0.0,14.23,-14.23,3.35,24,,0.02
70,37.09,0.415,0.747,0.0,9.31,-9.31,4.91,0,,0.02
58,88.47,0.281,0.649,0.0,9.38,-9.38,7.89,26,,0.02
81,84.38,0.529,0.919,0.0,13.79,-13.79,2.5,7,,0.02
19,49.83,0.231,0.658,0.0,14.76,-14.76,5.48,25,,0.02
45,77.99,0.562,0.977,0.0,13.2,-13.2,6.25,16,,0.02
99,41.08,0.516,0.85,0.0,9.79,-9.79,3.36,8,,0.02
5,89.08,0.259,0.589,0.0,9.0,-9.0,3.75,17,,0.02
72,76.9,0.291,0.639,0.0,9.66,-9.66,7.22,13,,0.02
27,94.65,0.501,0.884,0.0,14.03,-14.03,3.43,12,,0.02
96,48.65,0.39,0.774,0.0,14.59,-14.59,5.87,23,,0.02
48,41.06,0.599,1.0,0.0,9.33,-9.33,5.21,11,,0.02
34,87.66,0.335,0.773,0.0,10.17,-10.17,3.88,5,,0.02
57,83.69,0.436,0.9,0.0,10.02,-10.02,2.69,3,,0.02
17,73.39,0.476,0.805,0.0,11.89,-11.89,5.16,23,,0.02
74,75.34,0.383,0.722,0.0,11.24,-11.24,7.85,11,,0.02
41,41.65,0.582,0.935,0.0,9.36,-9.36,2.42,14,,0.02
6,83.41,0.551,0.911,0.0,10.23,-10.23,7.48,25,,0.02
15,42.11,0.442,0.857,0.0,10.11,-10.11,6.39,27,,0.02
31,50.95,0.326,0.732,0.0,11.29,-11.29,2.25,30,,0.02
100,40.76,0.259,0.616,0.0,14.07,-14.07,3.0,30,,0.02
20,97.11,0.204,0.595,0.0,12.21,-12.21,4.82,28,,0.02
86,50.06,0.445,0.86,0.0,13.19,-13.19,6.73,6,,0.02
89,49.19,0.593,0.94,0.0,10.23,-10.23,5.89,3,,0.02
91,40.35,0.311,0.624,0.0,13.08,-13.08,4.71,11,,0.02
23,54.81,0.45,0.807,0.0,13.85,-13.85,2.76,2,,0.02
24,50.68,0.446,0.801,0.0,10.51,-10.51,2.09,8,,0.02
37,76.5,0.249,0.74,0.0,12.6,-12.6,7.14,2,,0.02
69,47.9,0.374,0.741,0.0,10.71,-10.71,7.34,25,,0.02
92,94.89,0.413,0.878,0.0,11.82,-11.82,3.75,28,,0.02
21,82.63,0.519,0.877,0.0,14.76,-14.76,6.17,1,,0.02
