id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
6,43.2,0.239,0.67,0.0,6.29,-6.29,7.01,1,,0.02
84,47.81,0.302,0.615,0.0,7.76,-7.76,5.04,9,,0.02
29,71.48,0.234,0.634,0.0,6.6,-6.6,6.19,24,,0.02
41,54.53,0.326,0.8,0.0,5.4,-5.4,2.53,17,,0.02
48,87.43,0.281,0.609,0.0,7.74,-7.74,6.23,22,,0.02
1,43.75,0.479,0.817,0.0,6.18,-6.18,5.26,5,,0.02
25,52.36,0.291,0.721,0.0,8.48,-8.48,7.57,19,,0.02
38,53.12,0.302,0.614,0.0,7.11,-7.11,6.74,6,,0.02
36,79.15,0.333,0.781,0.0,6.88,-6.88,3.22,6,,0.02
9,53.6,0.397,0.875,0.0,5.83,-5.83,4.81,2,,0.02
16,95.35,0.453,0.919,0.0,6.65,-6.65,5.65,10,,0.02
28,72.7,0.515,0.844,0.0,6.73,-6.73,2.5,10,,0.02
75,48.44,0.477,0.896,0.0,7.44,-7.44,5.37,25,,0.02
82,40.81,0.247,0.64,0.0,5.77,-5.77,2.71,25,,0.02
35,53.98,0.548,1.0,0.0,8.71,-8.71,4.06,0,,0.02
49,74.06,0.59,0.919,0.0,8.98,-8.98,5.39,29,,0.02
54,36.59,0.254,0.723,0.0,8.12,-8.12,6.27,15,,0.02
47,38.05,0.564,0.93,0.0,8.88,-8.88,2.79,17,,0.02
53,88.36,0.427,0.773,0.0,6.07,-6.07,3.39,7,,0.02
3,40.91,0.347,0.647,0.0,6.05,-6.05,5.04,20,,0.02
86,75.82,0.569,0.965,0.0,8.34,-8.34,6.78,15,,0.02
18,70.01,0.314,0.617,0.0,5.14,-5.14,7.96,4,,0.02
34,77.0,0.262,0.708,0.0,7.74,-7.74,2.67,2,,0.02
27,76.62,0.493,0.871,0.0,5.2,-5.2,6.52,14,,0.02
65,91.38,0.382,0.732,0.0,5.81,-5.81,5.89,22,,0.02
64,96.83,0.357,0.722,0.0,7.19,-7.19,3.07,0,,0.02
87,84.44,0.557,0.964,0.0,7.51,-7.51,4.77,10,,0.02
93,37.24,0.511,0.994,0.0,8.14,-8.14,5.04,14,,0.02
52,89.11,0.261,0.598,0.0,7.95,-7.95,3.11,4,,0.02
33,54.75,0.596,0.985,0.0,7.46,-7.46,4.64,4,,0.02
62,93.21,0.267,0.625,0.0,6.14,-6.14,2.33,29,,0.02
99,41.38,0.247,0.577,0.0,6.76,-6.76,2.69,8,,0.02
19,41.01,0.542,0.847,0.0,5.89,-5.89,7.66,26,,0.02
100,86.79,0.417,0.827,0.0,5.41,-5.41,2.85,8,,0.02
59,92.27,0.41,0.885,0.0,7.38,-7.38,2.23,25,,0.02
39,71.59,0.203,0.581,0.0,7.62,-7.62,5.98,8,,0.02
78,79.88,0.284,0.626,0.0,6.66,-6.66,2.66,1,,0.02
8,44.8,0.436,0.746,0.0,7.5,-7.5,5.64,7,,0.02
56,97.76,0.289,0.723,0.0,8.8,-8.8,6.55,6,,0.02
5,86.17,0.41,0.809,0.0,6.55,-6.55,2.92,17,,0.02
2,44.37,0.439,0.912,0.0,8.47,-8.47,2.41,5,,0.02
97,87.83,0.387,0.696,0.0,5.35,-5.35,6.6,16,,0.02
90,51.81,0.35,0.757,0.0,6.36,-6.36,5.43,5,,0.02
21,37.77,0.433,0.779,0.0,6.47,-6.47,3.8,25,,0.02
96,35.73,0.546,0.869,0.0,6.55,-6.55,7.59,9,,0.02
72,43.84,0.203,0.679,0.0,7.4,-7.4,5.72,8,,0.02
45,70.88,0.312,0.642,0.0,7.22,-7.22,4.36,28,,0.02
66,74.92,0.236,0.678,0.0,7.93,-7.93,4.18,20,,0.02
71,86.31,0.553,0.901,0.0,5.02,-5.02,5.96,18,,0.02
24,81.45,0.569,0.936,0.0,8.12,-8.12,6.9,28,,0.02
67,81.52,0.405,0.895,0.0,8.16,-8.16,5.3,12,,0.02
73,94.76,0.259,0.69,0.0,5.2,-5.2,2.87,1,,0.02
95,74.3,0.529,1.0,0.0,8.49,-8.49,7.96,21,,0.02
80,82.81,0.304,0.719,0.0,8.39,-8.39,4.12,19,,0.02
15,38.16,0.377,0.748,0.0,8.99,-8.99,5.3,10,,0.02
31,77.39,0.511,0.875,0.0,5.29,-5.29,5.46,29,,0.02
63,74.27,0.381,0.825,0.0,8.32,-8.32,3.08,3,,0.02
83,93.99,0.366,0.732,0.0,9.0,-9.0,6.84,17,,0.02
98,70.67,0.456,0.798,0.0,8.03,-8.03,3.16,6,,0.02
42,54.34,0.485,0.793,0.0,7.24,-7.24,5.18,29,,0.02
