id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
15,35.75,0.507,0.833,0.0,4.74,-4.74,2.93,12,,0.02
46,83.05,0.517,0.828,0.0,9.56,-9.56,5.83,21,,0.02
64,77.52,0.42,0.745,0.0,9.54,-9.54,5.69,9,,0.02
25,54.89,0.211,0.697,0.0,4.87,-4.87,6.29,26,,0.02
27,37.78,0.379,0.68,0.0,6.0,-6.0,2.11,2,,0.02
28,39.31,0.576,0.998,0.0,4.11,-4.11,2.67,13,,0.02
96,78.93,0.283,0.724,0.0,8.16,-8.16,4.88,10,,0.02
4,54.15,0.524,0.992,0.0,5.13,-5.13,2.51,22,,0.02
65,72.8,0.437,0.853,0.0,9.56,-9.56,5.95,5,,0.02
52,73.53,0.482,0.825,0.0,10.1,-10.1,3.71,19,,0.02
85,87.81,0.404,0.802,0.0,9.03,-9.03,3.8,18,,0.02
16,38.62,0.45,0.93,0.0,5.96,-5.96,4.63,23,,0.02
2,46.88,0.432,0.923,0.0,4.91,-4.91,7.38,23,,0.02
77,78.44,0.537,0.972,0.0,9.39,-9.39,5.22,9,,0.02
44,73.08,0.318,0.707,0.0,8.31,-8.31,4.56,22,,0.02
55,91.29,0.316,0.676,0.0,9.2,-9.2,6.27,5,,0.02
91,82.39,0.401,0.823,0.0,7.82,-7.82,7.24,15,,0.02
41,81.04,0.497,0.976,0.0,10.56,-10.56,4.03,12,,0.02
100,84.37,0.415,0.902,0.0,7.81,-7.81,3.63,22,,0.02
38,71.11,0.516,0.994,0.0,7.81,-7.81,7.6,10,,0.02
99,71.26,0.232,0.716,0.0,10.82,-10.82,3.54,20,,0.02
78,95.42,0.553,0.998,0.0,8.72,-8.72,4.42,24,,0.02
6,38.17,0.313,0.695,0.0,4.87,-4.87,6.07,10,,0.02
50,83.32,0.255,0.628,0.0,7.31,-7.31,5.9,10,,0.02
36,80.57,0.457,0.923,0.0,8.35,-8.35,4.79,21,,0.02
58,94.11,0.445,0.762,0.0,9.21,-9.21,4.39,9,,0.02
10,42.84,0.575,0.937,0.0,5.62,-5.62,5.86,12,,0.02
97,86.81,0.489,0.846,0.0,10.74,-10.74,6.06,18,,0.02
45,90.69,0.217,0.691,0.0,8.41,-8.41,5.69,11,,0.02
24,52.69,0.366,0.745,0.0,6.76,-6.76,3.41,11,,0.02
63,98.04,0.579,0.983,0.0,7.9,-7.9,7.08,9,,0.02
59,91.51,0.364,0.746,0.0,8.91,-8.91,2.44,18,,0.02
17,43.22,0.295,0.684,0.0,5.9,-5.9,6.51,9,,0.02
40,78.58,0.219,0.65,0.0,10.45,-10.45,2.75,8,,0.02
11,41.57,0.481,0.971,0.0,4.03,-4.03,7.47,21,,0.02
49,81.49,0.442,0.878,0.0,9.27,-9.27,4.23,30,,0.02
80,85.13,0.312,0.81,0.0,10.06,-10.06,5.67,21,,0.02
83,91.41,0.408,0.738,0.0,10.22,-10.22,5.09,28,,0.02
90,70.95,0.244,0.548,0.0,10.79,-10.79,4.51,10,,0.02
47,80.9,0.472,0.962,0.0,10.2,-10.2,7.09,4,,0.02
33,85.22,0.422,0.8,0.0,10.95,-10.95,2.26,15,,0.02
9,36.63,0.567,0.929,0.0,5.86,-5.86,6.19,20,,0.02
60,99.17,0.38,0.816,0.0,9.57,-9.57,2.77,11,,0.02
34,81.61,0.499,0.87,0.0,8.49,-8.49,4.07,2,,0.02
35,91.99,0.509,0.956,0.0,9.51,-9.51,2.8,10,,0.02
73,74.23,0.578,1.0,0.0,7.2,-7.2,3.49,13,,0.02
69,79.06,0.523,0.904,0.0,7.98,-7.98,2.44,14,,0.02
57,93.76,0.398,0.77,0.0,7.95,-7.95,4.21,18,,0.02
22,49.23,0.25,0.567,0.0,5.35,-5.35,3.64,5,,0.02
88,93.49,0.431,0.875,0.0,10.1,-10.1,4.88,18,,0.02
39,85.46,0.417,0.768,0.0,10.96,-10.96,5.88,24,,0.02
72,81.12,0.328,0.721,0.0,9.25,-9.25,4.7,8,,0.02
20,50.56,0.367,0.7,0.0,5.31,-5.31,6.81,6,,0.02
81,73.86,0.349,0.847,0.0,7.39,-7.39,7.63,17,,0.02
3,43.99,0.461,0.825,0.0,6.35,-6.35,5.01,15,,0.02
19,51.7,0.579,1.0,0.0,4.85,-4.85,6.62,14,,0.02
56,97.82,0.517,0.919,0.0,9.55,-9.55,7.91,3,,0.02
48,90.34,0.25,0.598,0.0,8.75,-8.75,4.2,20,,0.02
70,71.8,0.394,0.735,0.0,8.76,-8.76,2.86,19,,0.02
98,81.39,0.527,1.0,0.0,10.92,-10.92,2.88,25,,0.02
51,77.49,0.494,0.894,0.0,7.45,-7.45,7.48,12,,0.02
75,74.78,0.387,0.863,0.0,10.98,-10.98,2.14,15,,0.02
66,91.62,0.537,0.95,0.0,9.42,-9.42,7.18,26,,0.02
92,92.08,0.255,0.597,0.0,7.25,-7.25,7.99,10,,0.02
67,72.44,0.508,0.861,0.0,10.79,-10.79,6.6,6,,0.02
