id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
75,72.92,0.6,0.971,0.0,9.64,-9.64,7.79,20,,0.02
37,35.09,0.746,1.0,0.0,5.41,-5.41,3.93,28,,0.02
27,40.88,0.748,1.0,0.0,5.2,-5.2,6.58,17,,0.02
32,36.08,0.627,0.968,0.0,6.5,-6.5,7.92,13,,0.02
38,51.66,0.735,1.0,0.0,4.25,-4.25,3.36,7,,0.02
18,40.04,0.735,1.0,0.0,5.19,-5.19,5.51,12,,0.02
5,39.56,0.749,1.0,0.0,4.62,-4.62,3.62,10,,0.02
88,98.75,0.739,1.0,0.0,9.02,-9.02,6.56,3,,0.02
30,52.02,0.773,1.0,0.0,5.2,-5.2,5.72,30,,0.02
48,47.11,0.766,1.0,0.0,4.07,-4.07,5.71,23,,0.02
13,51.62,0.605,0.915,0.0,3.91,-3.91,5.43,27,,0.02
84,97.48,0.655,1.0,0.0,10.05,-10.05,4.72,9,,0.02
97,96.07,0.689,1.0,0.0,10.44,-10.44,6.23,20,,0.02
87,88.73,0.669,1.0,0.0,8.16,-8.16,5.9,22,,0.02
57,98.65,0.747,1.0,0.0,8.07,-8.07,3.1,10,,0.02
93,86.24,0.691,1.0,0.0,8.43,-8.43,6.44,21,,0.02
51,97.31,0.696,1.0,0.0,9.75,-9.75,6.03,0,,0.02
94,95.95,0.712,1.0,0.0,9.97,-9.97,6.78,25,,0.02
4,41.06,0.698,1.0,0.0,4.55,-4.55,7.83,3,,0.02
80,83.52,0.791,1.0,0.0,9.63,-9.63,2.03,15,,0.02
47,48.71,0.684,1.0,0.0,3.63,-3.63,3.62,16,,0.02
11,53.46,0.648,1.0,0.0,5.92,-5.92,3.07,14,,0.02
90,95.24,0.769,1.0,0.0,8.14,-8.14,2.64,16,,0.02
72,88.13,0.661,1.0,0.0,9.48,-9.48,5.93,6,,0.02
89,86.87,0.789,1.0,0.0,9.33,-9.33,6.49,21,,0.02
100,85.42,0.686,1.0,0.0,8.51,-8.51,2.97,4,,0.02
76,78.76,0.74,1.0,0.0,9.09,-9.09,4.95,5,,0.02
15,45.27,0.793,1.0,0.0,6.54,-6.54,7.47,15,,0.02
56,71.38,0.733,1.0,0.0,10.41,-10.41,7.37,11,,0.02
