id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
78,72.07,0.249,0.683,0.0,10.39,-10.39,5.8,4,,0.02
13,36.38,0.058,0.44,0.0,6.77,-6.77,2.81,24,,0.02
76,97.96,0.299,0.635,0.0,7.8,-7.8,5.3,24,,0.02
74,75.33,0.13,0.577,0.0,8.59,-8.59,4.95,20,,0.02
60,88.16,0.199,0.693,0.0,9.46,-9.46,2.18,10,,0.02
92,75.59,0.149,0.596,0.0,9.63,-9.63,3.18,28,,0.02
89,79.57,0.253,0.576,0.0,8.2,-8.2,4.06,27,,0.02
1,54.08,0.231,0.533,0.0,4.63,-4.63,4.16,20,,0.02
34,49.83,0.239,0.721,0.0,6.14,-6.14,5.63,22,,0.02
44,43.25,0.108,0.549,0.0,6.46,-6.46,3.31,0,,0.02
39,46.58,0.088,0.454,0.0,5.02,-5.02,5.42,12,,0.02
21,35.67,0.226,0.536,0.0,5.63,-5.63,2.27,23,,0.02
70,93.48,0.286,0.73,0.0,8.44,-8.44,5.56,15,,0.02
75,87.28,0.144,0.607,0.0,7.97,-7.97,4.19,12,,0.02
71,75.87,0.126,0.616,0.0,7.43,-7.43,7.05,10,,0.02
88,93.53,0.137,0.457,0.0,9.08,-9.08,6.18,23,,0.02
10,36.11,0.154,0.567,0.0,4.05,-4.05,4.77,17,,0.02
33,52.39,0.289,0.592,0.0,4.73,-4.73,3.14,29,,0.02
40,39.91,0.286,0.653,0.0,5.47,-5.47,6.93,24,,0.02
52,71.68,0.093,0.493,0.0,7.04,-7.04,5.87,13,,0.02
45,44.12,0.209,0.696,0.0,3.81,-3.81,4.9,29,,0.02
32,36.46,0.197,0.631,0.0,6.34,-6.34,4.88,6,,0.02
93,87.77,0.226,0.567,0.0,8.56,-8.56,6.22,24,,0.02
12,36.46,0.225,0.633,0.0,5.04,-5.04,7.61,1,,0.02
19,40.51,0.231,0.554,0.0,6.79,-6.79,5.96,25,,0.02
95,83.73,0.266,0.671,0.0,8.05,-8.05,3.88,20,,0.02
31,49.49,0.117,0.552,0.0,4.25,-4.25,2.24,19,,0.02
30,40.1,0.07,0.46,0.0,4.72,-4.72,2.55,11,,0.02
27,50.72,0.154,0.484,0.0,4.68,-4.68,3.1,12,,0.02
55,90.53,0.186,0.617,0.0,8.12,-8.12,7.57,5,,0.02
26,48.58,0.062,0.431,0.0,5.49,-5.49,6.03,20,,0.02
9,37.32,0.196,0.514,0.0,4.3,-4.3,4.67,16,,0.02
98,79.4,0.079,0.454,0.0,7.95,-7.95,5.06,4,,0.02
82,97.43,0.112,0.545,0.0,7.44,-7.44,5.88,5,,0.02
100,97.57,0.093,0.427,0.0,10.72,-10.72,2.84,9,,0.02
51,99.75,0.058,0.439,0.0,9.6,-9.6,5.32,12,,0.02
96,81.66,0.079,0.449,0.0,8.57,-8.57,5.7,14,,0.02
8,53.06,0.184,0.517,0.0,4.29,-4.29,5.12,27,,0.02
43,45.48,0.069,0.532,0.0,6.45,-6.45,6.59,1,,0.02
6,51.51,0.22,0.639,0.0,6.19,-6.19,2.49,25,,0.02
23,40.79,0.233,0.597,0.0,6.37,-6.37,6.64,19,,0.02
17,49.56,0.051,0.355,0.0,4.36,-4.36,4.78,9,,0.02
99,82.55,0.146,0.483,0.0,7.55,-7.55,5.22,20,,0.02
56,79.43,0.197,0.647,0.0,10.85,-10.85,6.93,22,,0.02
20,47.3,0.272,0.62,0.0,6.78,-6.78,2.61,2,,0.02
16,37.66,0.08,0.578,0.0,6.52,-6.52,5.17,12,,0.02
42,37.8,0.096,0.574,0.0,5.46,-5.46,7.74,20,,0.02
48,53.2,0.074,0.404,0.0,3.96,-3.96,5.72,6,,0.02
97,94.41,0.124,0.547,0.0,9.82,-9.82,6.03,2,,0.02
28,45.76,0.106,0.578,0.0,4.42,-4.42,6.83,4,,0.02
14,47.83,0.291,0.666,0.0,6.08,-6.08,4.29,28,,0.02
90,73.28,0.282,0.731,0.0,10.2,-10.2,3.05,16,,0.02
79,77.26,0.229,0.687,0.0,9.63,-9.63,4.69,2,,0.02
47,45.71,0.176,0.615,0.0,4.57,-4.57,6.84,13,,0.02
83,71.33,0.219,0.599,0.0,10.93,-10.93,3.99,24,,0.02
3,52.9,0.128,0.451,0.0,5.99,-5.99,7.64,29,,0.02
49,40.05,0.249,0.565,0.0,4.81,-4.81,4.44,30,,0.02
