id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
23,52.96,0.448,0.771,0.0,6.85,-6.85,5.83,15,,0.02
32,47.25,0.5,0.931,0.0,3.79,-3.79,2.72,5,,0.02
64,71.52,0.43,0.875,0.0,10.7,-10.7,2.18,15,,0.02
38,48.48,0.522,0.823,0.0,3.99,-3.99,7.18,27,,0.02
89,80.07,0.363,0.802,0.0,7.05,-7.05,3.54,11,,0.02
90,73.24,0.416,0.862,0.0,7.01,-7.01,7.31,5,,0.02
7,46.56,0.446,0.814,0.0,5.52,-5.52,6.57,21,,0.02
16,42.65,0.562,0.991,0.0,6.37,-6.37,2.86,21,,0.02
84,89.97,0.414,0.86,0.0,10.26,-10.26,2.76,9,,0.02
27,36.21,0.452,0.878,0.0,6.28,-6.28,6.6,16,,0.02
2,47.65,0.413,0.728,0.0,5.73,-5.73,7.28,25,,0.02
47,41.93,0.563,1.0,0.0,6.45,-6.45,6.55,0,,0.02
22,39.11,0.357,0.735,0.0,5.66,-5.66,2.33,20,,0.02
36,40.26,0.488,0.887,0.0,6.92,-6.92,4.16,16,,0.02
41,43.33,0.381,0.697,0.0,6.05,-6.05,2.72,11,,0.02
56,95.57,0.542,0.903,0.0,7.36,-7.36,6.18,22,,0.02
68,93.92,0.598,1.0,0.0,8.0,-8.0,7.94,0,,0.02
4,44.76,0.561,1.0,0.0,5.58,-5.58,6.39,2,,0.02
51,72.87,0.546,0.861,0.0,7.53,-7.53,2.37,18,,0.02
25,52.22,0.41,0.846,0.0,5.53,-5.53,4.83,24,,0.02
19,37.01,0.477,0.854,0.0,6.16,-6.16,4.58,30,,0.02
100,89.15,0.442,0.765,0.0,10.91,-10.91,4.38,25,,0.02
1,49.23,0.528,0.964,0.0,6.42,-6.42,2.85,15,,0.02
15,42.66,0.331,0.693,0.0,6.08,-6.08,3.8,28,,0.02
81,81.21,0.419,0.739,0.0,10.77,-10.77,3.94,9,,0.02
42,48.47,0.367,0.77,0.0,3.78,-3.78,7.72,1,,0.02
75,94.19,0.574,0.88,0.0,9.79,-9.79,4.11,22,,0.02
72,76.98,0.374,0.723,0.0,7.64,-7.64,6.9,17,,0.02
