gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
0,-0.21135596002780524,0.061948595367651585,0.429562854775767,0.0,0.0,0.0,0.0
1,-0.21135596002780524,-0.11436506410233788,0.0462927805451711,0.0,0.0,0.0,30.467729092451357
2,-0.21135596002780524,-0.16381577326011867,0.02739820166479416,0.0,0.0,0.0,22.35767695189037
3,-0.21135596002780524,-0.18779008153850257,0.01238305294223535,0.0,0.0,0.0,17.056772774586253
4,-0.21135596002780524,-0.1889284202186748,0.030613713222198267,0.0,0.0,0.0,14.370680862814925
5,-0.21135596002780524,-0.19909374909032465,0.01413957912332154,0.0,0.0,0.0,9.764060389323257
6,-0.21135596002780524,-0.20086131487062617,0.014786449222638595,0.0,0.0,0.0,8.102948952541558
7,-0.21135596002780524,-0.20449750883757375,0.014396563235497034,0.0,0.0,0.0,5.228741129600656
8,-0.21135596002780524,-0.2083256501609657,0.00506736176846735,0.0,0.0,0.0,3.906938637821346
9,-0.21135596002780524,-0.21017592511410035,0.001101815189140765,0.0,0.0,0.0,2.2192248554170737
10,-0.21135596002780524,-0.2110628367570385,0.00035012729263067934,0.0,0.0,0.0,0.6881664381600211
11,-0.21135596002780524,-0.21122790105067776,0.00015400947492699872,0.0,0.0,0.0,0.24436453036087766
12,-0.21135596002780524,-0.21112227498804545,0.0010024213039555312,0.0,0.0,0.0,0.1003106473003131
13,-0.21135596002780524,-0.2112144176536992,0.0006315634307784898,0.0,0.0,0.0,0.11777617396326692
14,-0.21135596002780524,-0.21128856014795483,0.0002666508891706897,0.0,0.0,0.0,0.11892359447152163
15,-0.21135596002780524,-0.21129584812076754,0.000292857673663243,0.0,0.0,0.0,0.01687895009205194
16,-0.21135596002780524,-0.21132232779075188,9.951571546661573e-05,0.0,0.0,0.0,0.17356379449224804
17,-0.21135596002780524,-0.21133493406506615,7.327337453666179e-05,0.0,0.0,0.0,0.03974814154146691
18,-0.21135596002780524,-0.21127571914246965,0.00037282799358695403,0.0,0.0,0.0,0.183932184856478
19,-0.21135596002780524,-0.21134049430044508,8.051973175073777e-05,0.0,0.0,0.0,0.05211333397763879
20,-0.21135596002780524,-0.21115455183189671,0.0010326810507045431,0.0,0.0,0.0,0.052858629866505115
21,-0.21135596002780524,-0.21119879480617712,0.0007566244867616485,0.0,0.0,0.0,0.1870984101184837
22,-0.21135596002780524,-0.2112883621022258,0.00022932601978787554,0.0,0.0,0.0,0.11826720629693563
23,-0.21135596002780524,-0.21130460361043463,0.0001746185186446236,0.0,0.0,0.0,0.1540920359927165
24,-0.21135596002780524,-0.21134339734760627,6.994848985148782e-05,0.0,0.0,0.0,9.178393811597632e-15
25,-0.21135596002780524,-0.21116325592979165,0.000990038788257746,0.0,0.0,0.0,0.05015029378240168
26,-0.21135596002780524,-0.2113402572766399,8.175256120096756e-05,0.0,0.0,0.0,5.9367715422061e-16
27,-0.21135596002780524,-0.21129652517157685,0.00016601584921000412,0.0,0.0,0.0,0.08270924033607205
28,-0.21135596002780524,-0.21130043253515893,0.00022953454419468353,0.0,0.0,0.0,0.007946920657490239
29,-0.21135596002780524,-0.2113289522375633,9.157805171351767e-05,0.0,0.0,0.0,1.4047242901046717e-15
30,-0.21135596002780524,-0.21129704885138204,0.0003142481823098289,0.0,0.0,0.0,0.0877907111373912
31,-0.21135596002780524,-0.21068207893904312,0.003570939372918285,0.0,0.0,0.0,0.022839957974614307
32,-0.21135596002780524,-0.2113305119989177,7.783960212459771e-05,0.0,0.0,0.0,1.984377574540543e-15
33,-0.21135596002780524,-0.21131362554189595,0.00011353048293617685,0.0,0.0,0.0,0.07331505328079718
34,-0.21135596002780524,-0.21134078679828577,5.1522686462329755e-05,0.0,0.0,0.0,1.3112318248730797e-15
35,-0.21135596002780524,-0.21119580844809785,0.0010105143215951825,0.0,0.0,0.0,0.08144967471737723
36,-0.21135596002780524,-0.21082463363925494,0.002735154963580951,0.0,0.0,0.0,0.19233908380726789
37,-0.21135596002780524,-0.21127677542033144,0.0003252701429888593,0.0,0.0,0.0,0.06426219973774132
38,-0.21135596002780524,-0.2113370826601781,7.224249648860555e-05,0.0,0.0,0.0,0.06732844513384255
39,-0.21135596002780524,-0.21130827122651027,0.00016724109948440207,0.0,0.0,0.0,1.3883631086891431e-15
40,-0.21135596002780524,-0.2112822926528,0.000436442462926615,0.0,0.0,0.0,0.13235652274031978
