Loaded 150 EVs from /Users/ankitkumarsingh/Desktop/MMTP/Optimal_cost_reduction_in_electric_vehicle_Using_Priority_scheduling_and_Optimisation/evs_150.csv
=== SJF Admission ===

Total EVs: 150, Available chargers: 30
Admission criteria: Shortest-Job-First (smallest required charging time)

Sorted by job length (hours), arrival, id:
  EV44: job_len=0.678 h, T_arr_idx=31
  EV53: job_len=0.840 h, T_arr_idx=67
  EV58: job_len=0.870 h, T_arr_idx=83
  EV32: job_len=0.874 h, T_arr_idx=66
  EV42: job_len=0.916 h, T_arr_idx=28
  EV106: job_len=0.977 h, T_arr_idx=22
  EV112: job_len=1.020 h, T_arr_idx=59
  EV37: job_len=1.023 h, T_arr_idx=30
  EV60: job_len=1.034 h, T_arr_idx=66
  EV74: job_len=1.089 h, T_arr_idx=40
  EV142: job_len=1.090 h, T_arr_idx=34
  EV6: job_len=1.129 h, T_arr_idx=78
  EV70: job_len=1.131 h, T_arr_idx=70
  EV87: job_len=1.143 h, T_arr_idx=75
  EV137: job_len=1.147 h, T_arr_idx=77
  EV107: job_len=1.149 h, T_arr_idx=46
  EV140: job_len=1.287 h, T_arr_idx=74
  EV65: job_len=1.291 h, T_arr_idx=33
  EV99: job_len=1.295 h, T_arr_idx=31
  EV92: job_len=1.314 h, T_arr_idx=89
  EV15: job_len=1.323 h, T_arr_idx=18
  EV80: job_len=1.327 h, T_arr_idx=43
  EV5: job_len=1.372 h, T_arr_idx=12
  EV78: job_len=1.400 h, T_arr_idx=42
  EV41: job_len=1.434 h, T_arr_idx=33
  EV97: job_len=1.435 h, T_arr_idx=80
  EV85: job_len=1.436 h, T_arr_idx=33
  EV38: job_len=1.445 h, T_arr_idx=67
  EV125: job_len=1.477 h, T_arr_idx=75
  EV120: job_len=1.491 h, T_arr_idx=69
  EV135: job_len=1.505 h, T_arr_idx=83
  EV146: job_len=1.506 h, T_arr_idx=14
  EV22: job_len=1.516 h, T_arr_idx=44
  EV134: job_len=1.524 h, T_arr_idx=46
  EV26: job_len=1.543 h, T_arr_idx=22
  EV141: job_len=1.546 h, T_arr_idx=90
  EV123: job_len=1.564 h, T_arr_idx=65
  EV147: job_len=1.577 h, T_arr_idx=66
  EV88: job_len=1.600 h, T_arr_idx=83
  EV1: job_len=1.622 h, T_arr_idx=71
  EV51: job_len=1.669 h, T_arr_idx=72
  EV83: job_len=1.684 h, T_arr_idx=71
  EV34: job_len=1.693 h, T_arr_idx=29
  EV72: job_len=1.723 h, T_arr_idx=33
  EV29: job_len=1.732 h, T_arr_idx=28
