id,Ecap,SoC_init,SoC_max,R_i,T_stay,T_arr_idx,T_dep_idx,SoC_min,cdeg
1,49,0.116,0.429,3.6,5.36,21,43,0.12,0.0243
2,52,0.114,0.463,7.0,5.41,26,48,0.06,0.0246
3,86,0.110,0.446,11.0,2.76,36,48,0.11,0.0222
4,93,0.102,0.453,7.0,10.35,6,48,0.10,0.0220
5,88,0.167,0.406,3.6,7.88,16,48,0.05,0.0257
6,85,0.409,0.632,22.0,3.61,33,48,0.15,0.0209
7,53,0.246,0.653,22.0,6.92,20,48,0.08,0.0164
8,77,0.404,0.757,22.0,5.44,26,48,0.19,0.0209
9,50,0.281,0.507,7.0,1.70,32,39,0.14,0.0222
10,40,0.276,0.547,3.6,3.17,35,48,0.12,0.0218
11,41,0.147,0.484,7.0,8.31,14,48,0.08,0.0283
12,37,0.295,0.553,7.0,10.86,4,48,0.13,0.0163
13,41,0.230,0.631,7.0,4.48,30,48,0.10,0.0236
14,42,0.422,0.843,3.6,7.69,17,48,0.19,0.0229
15,78,0.307,0.727,7.0,8.27,14,48,0.16,0.0177
16,43,0.206,0.568,7.0,2.88,26,38,0.17,0.0152
17,49,0.303,0.593,7.0,2.65,37,48,0.08,0.0214
18,82,0.149,0.406,3.6,6.17,23,48,0.06,0.0157
19,52,0.262,0.532,11.0,6.13,23,48,0.11,0.0288
20,44,0.277,0.598,11.0,1.74,41,48,0.05,0.0231
21,44,0.203,0.576,7.0,5.38,26,48,0.10,0.0183
22,48,0.193,0.482,7.0,8.82,12,48,0.11,0.0127
23,44,0.194,0.471,7.0,3.03,31,44,0.10,0.0235
24,42,0.366,0.806,7.0,8.97,12,48,0.08,0.0260
25,48,0.137,0.492,7.0,5.44,26,48,0.14,0.0246
26,54,0.094,0.381,7.0,6.25,23,48,0.09,0.0307
27,48,0.396,0.629,7.0,11.09,3,48,0.05,0.0238
28,44,0.315,0.651,3.6,6.86,20,48,0.10,0.0280
29,42,0.102,0.341,3.6,5.27,23,45,0.10,0.0242
30,99,0.144,0.568,11.0,4.36,30,48,0.12,0.0220
31,86,0.151,0.433,7.0,6.29,22,48,0.07,0.0198
32,36,0.100,0.528,7.0,2.39,38,48,0.09,0.0285
33,42,0.366,0.648,11.0,9.07,11,48,0.18,0.0181
34,83,0.204,0.544,11.0,2.70,37,48,0.06,0.0156
35,51,0.304,0.526,11.0,4.44,30,48,0.10,0.0173
36,46,0.094,0.515,7.0,6.57,21,48,0.09,0.0179
37,42,0.136,0.426,7.0,3.08,22,35,0.05,0.0218
38,35,0.223,0.517,7.0,3.67,33,48,0.07,0.0223
39,40,0.256,0.533,7.0,6.63,21,48,0.06,0.0222
40,48,0.133,0.341,7.0,8.94,12,48,0.13,0.0167
41,41,0.178,0.431,7.0,4.71,29,48,0.18,0.0178
