gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
0,0.27854458633169504,17.19275856297694,20.71941454479337,0.0015773546546428152,0.0,0.0,0.0
1,0.2725948610691502,4.726055924577357,6.642105315346854,0.0,0.0,0.0,14.038641003381061
2,0.2725948610691502,0.8112869245436227,0.9303711975477164,0.0,0.0,0.0,13.355295567002187
3,0.26876410839988263,0.3863768817944377,0.27098637783648827,0.0,0.0,0.0,11.322535526685323
4,0.26632622989115273,0.30539420846291926,0.025170074372101142,0.0011094308661396823,0.0,0.0,8.749148104485464
5,0.2636638312644196,0.28799628714520903,0.01785094118880117,0.0,0.0,0.0,7.621409125071825
6,0.2613038494084955,0.2760013144864494,0.008296202188604001,0.0,0.0,0.0,6.5077698981247005
7,0.25651092592966773,0.26957272803485843,0.005279924219138096,0.0009547334457352674,0.0,0.0,6.445119044151786
8,0.256386231317258,0.266298608632527,0.00471766348072384,0.0,0.0,0.0,5.841766690466616
9,0.25275005235449755,0.26273722398036153,0.004414654501671859,0.0,0.0,0.0,5.39152319604413
10,0.25275005235449755,0.2597307153911113,0.0038124715452202665,0.0,0.0,0.0,4.853388378865487
11,0.2527123369528871,0.25724116357715354,0.0026173127411689527,0.0,0.0,0.0,4.4895305217880175
12,0.2513801372791129,0.255561053118061,0.0023994414092706174,0.0,0.0,0.0,3.37221581737927
13,0.2504769252617073,0.25403389013955713,0.0017203497670445385,0.0,0.0,0.0,3.068071569182791
14,0.25006771139353834,0.2529085729112184,0.0015151978037617054,0.0,0.0,0.0,2.607507865367224
15,0.24828353984750862,0.25197975979539833,0.0013803838055258654,0.0,0.0,0.0,2.4079480887884626
16,0.24828353984750862,0.2513182885052328,0.0012305256505376696,0.0,0.0,0.0,2.575861099630214
17,0.24828353984750862,0.2505109437309169,0.0012203750864598823,0.0,0.0,0.0,2.3767453886729473
18,0.24773225840774182,0.24976621990298983,0.0010763737332899813,0.0,0.0,0.0,2.3396076949860487
19,0.24749428122516023,0.249116052938493,0.0008906053521883568,0.0,0.0,0.0,2.159214965993988
20,0.24688717646787056,0.2485472726927586,0.0006530171193600839,0.0,0.0,0.0,1.815670508462809
21,0.2465458832336497,0.24827405217917073,0.0006870073919041144,0.0,0.0,0.0,1.9497845527548194
22,0.24614354385346748,0.24784955356618374,0.0007348907645994989,0.0,0.0,0.0,1.8660404584744064
23,0.24614354385346748,0.24749935477707888,0.0007319563964187176,0.0,0.0,0.0,1.833926471629344
24,0.24587237322788313,0.24722228364251375,0.0006189397385532039,0.0,0.0,0.0,1.7645617904712498
25,0.24563772479031434,0.24690056865833745,0.0005704379049643993,0.0,0.0,0.0,1.6525509062441244
26,0.24563772479031434,0.24659328946630427,0.0004620412645324031,0.0,0.0,0.0,1.653066608470437
27,0.24537139789148502,0.2463767297308656,0.0004955806049605222,0.0,0.0,0.0,1.6369704795850437
28,0.24530988219072186,0.24618932671311827,0.0005649562528652175,0.0,0.0,0.0,1.616079287396938
29,0.2451871573296769,0.24591909699839548,0.00044410854506499924,0.0,0.0,0.0,1.5332444963148748
30,0.2444203480310028,0.24574356934016509,0.0005126749286554916,0.0,0.0,0.0,1.4795088643096266
31,0.24437739511393905,0.24550851435676743,0.0005098843713188548,0.0,0.0,0.0,1.5232765401137123
32,0.2441744885564604,0.2452978721465105,0.0005189450526572203,0.0,0.0,0.0,1.499219483758327
33,0.24413105518684242,0.2450119424873824,0.000461185881859075,0.0,0.0,0.0,1.4316787886367282
34,0.24397915123577507,0.2448198734188663,0.000525059135894575,0.0,0.0,0.0,1.358696174669341
35,0.24373226461810152,0.24459302428266258,0.0004166493265202959,0.0,0.0,0.0,1.3183421055167233
36,0.24372134589950756,0.2444624683525199,0.0004883646013590594,0.0,0.0,0.0,1.3623008009937876
37,0.2435603793923394,0.24425903709908667,0.0003586627537375671,0.0,0.0,0.0,1.1423903100309805
38,0.24310898115558432,0.24407148715900828,0.00036083961014638107,0.0,0.0,0.0,1.0690468779962996
39,0.24307497589827573,0.24389165338190913,0.000408641592687328,0.0,0.0,0.0,1.221173840190678
40,0.24285435406126066,0.2437291628364761,0.00042451721815019806,0.0,0.0,0.0,1.0056266098386455
41,0.2425481057966264,0.24354743830364242,0.0004595462125136221,0.0,0.0,0.0,1.1051902572698342
42,0.24237223820885245,0.2433525555105601,0.0004479478729082306,0.0,0.0,0.0,1.219674918039533
43,0.24237223820885245,0.24316588535851644,0.00044790124934296826,0.0,0.0,0.0,1.0854106367421867
44,0.24210831146449668,0.2429377035115113,0.00035922432921452175,0.0,0.0,0.0,1.1610699619775637
45,0.24210831146449668,0.24280562072458522,0.00038731037768875384,0.0,0.0,0.0,1.0576493431875722
46,0.2419703479232158,0.24269222038125318,0.00046052231784644295,0.0,0.0,0.0,1.0720215823645942
47,0.24196903414664664,0.24250743592173335,0.00032731876913259913,0.0,0.0,0.0,1.056368062437457
48,0.24192168975542766,0.2424214788072476,0.0004132482180548109,0.0,0.0,0.0,1.1130486244536628
49,0.24181909308167984,0.2422240064759901,0.00024968367168737933,0.0,0.0,0.0,1.0100480112797474
50,0.24169323574179513,0.24213921664478152,0.00028382571286172465,0.0,0.0,0.0,0.9300081307941253
51,0.24169323574179513,0.24198931057906917,0.00014580221503078804,0.0,0.0,0.0,0.6576490215684053
52,0.2415752436744989,0.24196235416559714,0.0001967122213801764,0.0,0.0,0.0,0.8161491493806943
53,0.2415752436744989,0.24191830369999995,0.0002360145192571118,0.0,0.0,0.0,0.8455109213904314
54,0.2414387359895758,0.24186800118228657,0.00022511259752683055,0.0,0.0,0.0,0.8187698906195194
55,0.24128225536930506,0.24176391763272956,0.00022657841166822413,0.0,0.0,0.0,0.8911086797688926
56,0.24127822457033535,0.24171925836482427,0.00030409403564432493,0.0,0.0,0.0,0.9028790200186372
57,0.24125447696493552,0.24169767067666179,0.0003097474884611049,0.0,0.0,0.0,0.8840414275644816
58,0.24104510905160137,0.24158366710204618,0.00023556959311877947,0.0,0.0,0.0,0.8353136915260014
59,0.24104510905160137,0.2414891170406344,0.00023762050804677792,0.0,0.0,0.0,0.9138777075869204
60,0.24090901731578263,0.24137565199671898,0.00021405860659214304,0.0,0.0,0.0,0.8477278673627167
61,0.24090901731578263,0.2413106659436335,0.0002950708730328753,0.0,0.0,0.0,0.8522798801202632
62,0.24086140674770817,0.2412053751421179,0.00027256513721535703,0.0,0.0,0.0,0.8101657295011574
63,0.24085993622718782,0.2410764344245229,0.00018906533873132037,0.0,0.0,0.0,0.715094852377393
64,0.24085210969359633,0.2409902348898038,0.00011354802259464304,0.0,0.0,0.0,0.5096762994663416
65,0.2408156739986119,0.24099773663664698,0.0001790193803615926,0.0,0.0,0.0,0.5050310620521727
